id,expected,corpus,split,sourceUrl,year,team,name,playerType,before,after
SEASON_781a70e8c472e2a31acc,7,Article2010,Holdout,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/2720f.jpg,2008,롯데,조정훈,Pitcher,7,7
SEASON_43b39f6d51f34ac140ea,5,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,가내영,Pitcher,3,3
SEASON_9c692bcfb4d1d5959262,5,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,권준헌,Hitter,4,4
SEASON_48898c8ee4717e6202a9,8,Observed2011,Holdout,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,김경기,Hitter,8,9
SEASON_8d361f24b247c836b111,7,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,김동기,Hitter,8,7
SEASON_62f5982cf8b29c338bc8,5,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,김용국,Hitter,5,4
SEASON_9a6f1e13eb5aa66f4f9d,6,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,김인호,Hitter,6,5
SEASON_24e408f4ab486c162055,8,Observed2011,Holdout,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,김홍집,Pitcher,8,8
SEASON_5d22fbb56bbb430774d7,4,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,나성열,Pitcher,3,3
SEASON_26164f14d1e8314d5108,5,Observed2011,Holdout,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,노승욱,Pitcher,4,4
SEASON_b5497e5e5c38c2b049bf,6,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,박은진,Pitcher,6,6
SEASON_20937cfdba3040e5ac75,5,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,손차훈,Hitter,5,4
SEASON_63f1e048725578cce1e3,7,Observed2011,Holdout,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,안병원,Pitcher,8,8
SEASON_4e3ba946427255184c99,6,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,염경엽,Hitter,6,5
SEASON_a44883a51438ad2efafa,8,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,윤덕규,Hitter,8,8
SEASON_4ffb4c3031d83444f33c,6,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,이희성,Hitter,5,5
SEASON_d54a57f8b238dcae2b5c,9,Observed2011,Validation,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,정명원,Pitcher,8,8
SEASON_70ff5759f38c51d96c71,7,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,정민태,Pitcher,8,8
SEASON_d965387ee91457df5b4d,4,Observed2011,Holdout,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,조웅천,Pitcher,2,2
SEASON_bfe417187cb979c1b711,8,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,최상덕,Pitcher,8,8
SEASON_603dbb2904ff35b76871,7,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86963,1994,태평양,최창호,Pitcher,8,8
SEASON_b89cec7350c876cf3311,5,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,강길용,Pitcher,5,5
SEASON_c17ee48fc02e642a8cf8,5,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,강병규,Pitcher,6,6
SEASON_53419b60d19ec1266410,9,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,권명철,Pitcher,9,9
SEASON_99534f25f24b849bf057,6,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,김경원,Pitcher,6,6
SEASON_c4f9e36bc98be36377bc,6,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,김민호,Hitter,8,7
SEASON_5095d29ee4416c1cbde1,10,Observed2011,Validation,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,김상진,Pitcher,10,10
SEASON_f7b84e7b216676e4ad20,9,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,김상호,Hitter,10,9
SEASON_44fe420e10cfbbd3aeaa,7,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,김종석,Hitter,8,7
SEASON_47d9af4f6afd545d33f8,7,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,김형석,Hitter,8,7
SEASON_eb4c638db330f56d1792,6,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,박철순,Pitcher,6,6
SEASON_b6f22911768bd0f84f80,5,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,송재용,Pitcher,4,4
SEASON_dcb02f0b4ff190e49c0f,8,Observed2011,Train,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,심정수,Hitter,8,8
SEASON_7767d6985d44cc2d6872,6,Observed2011,Validation,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,안경현,Hitter,6,6
SEASON_36fc4ad0b6cd3f231917,4,Observed2011,Holdout,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,이광우,Pitcher,1,1
SEASON_fce85953dfb06f9ba236,7,Observed2011,Holdout,https://www.inven.co.kr/webzine/news/?news=86966,1995,OB,이도형,Hitter,8,7
