"WorkbookRow","Year","TeamContext","PlayerName","Cost","SourceDate","SourceUrl","SameYearNameCandidates","SameArticleSameCostCandidates","SameArticleOtherCostCandidates","ReviewStatus"
"88","2000","현대","박재홍","10","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"89","2000","현대","정민태","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"90","2000","현대","박경완","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"91","2000","현대","김수경","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"92","2000","현대","퀸란","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"93","1998","현대","정민태","10","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"94","1998","현대","정명원","10","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"95","1998","현대","김수경","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"96","1998","현대","전준호","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"97","1998","현대","박재홍","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"98","1998","현대","쿨바","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"99","1998","현대","최원호","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"100","1998","현대","스트롱","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"101","1997","해태","이대진","10","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"102","1997","해태","이종범","10","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"103","1997","해태","이강철","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"104","1997","해태","임창용","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"105","1997","해태","홍현우","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"106","1997","해태","신영수","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"107","1997","해태","최훈재","8","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"108","1995","OB","김상진","10","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"109","1995","OB","권명철","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
"110","1995","OB","김상호","9","2011","https://www.inven.co.kr/webzine/news/?news=86966","1","1","0","CandidateOnly_NoAutomaticMerge"
